Country code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010
180,0.0000,75.0000,122.6500,241.9100,27.4500,100.6850,-346.8600,74.7430,1202.3800,-1500.9560,-241.5640,-23.9750
226,0.0000,0.0000,0.0000,0.0000,-70.0000,-30.0000,65.0000,15.0000,15.0000,20.0000,25.0000,20.0000
266,0.0000,0.0000,0.0000,0.0000,20.0000,20.0000,20.0000,20.0000,20.0000,14.3740,9.5660,5.0000
678,-9.1600,-3.4960,-9.1680,-1.4020,-2.2390,-0.7520,-5.1900,-3.1850,-4.7430,-4.8600,-7.4450,-6.4960
912,-492.6700,-624.4840,-1119.5520,-791.2190,-1097.0100,-522.7320,-75.9900,-1465.5480,-1830.7420,-1861.8320,-1667.4600,-1019.7220
12,-289.2020,-433.1150,-638.0280,-200.0620,-153.7870,6.2210,83.3060,-70.0000,-50.0000,-140.0000,-140.0000,-140.0000
818,-50.1000,-50.1000,-50.1000,-239.7000,-626.7960,-848.4400,-696.6010,-651.8180,-1109.2380,-945.7040,-370.7800,-346.9220
434,-40.3760,46.0230,45.8910,75.3150,90.6700,118.7410,185.5600,-20.3000,-20.3000,-20.3000,-20.3000,-20.3000
504,0.6980,-12.9670,-205.3590,-217.7450,-442.9720,-171.6210,-50.0000,-250.0000,-450.0000,-500.0000,-614.0000,-675.0000
736,-10.0000,-10.0000,-60.9300,-81.6550,175.8000,328.2850,415.5450,-458.9340,-168.3560,-226.8540,-531.7810,135.0000
788,-109.2900,-172.6250,-223.5260,-144.5220,-128.7450,-16.7180,-24.0000,-25.1960,-43.2480,-55.6240,-80.5990,-20.0000
732,5.6000,8.3000,12.5000,17.1500,-11.1800,60.8000,10.2000,10.7000,10.4000,26.6500,90.0000,47.5000
913,5.5450,-35.8170,45.5240,168.7380,204.2410,30.0400,123.7160,-75.8890,846.2940,226.7680,640.1140,691.2390
72,-5.0000,-20.0000,-15.0000,-6.0200,2.3260,14.8450,0.6010,5.8030,17.8640,24.5460,21.2780,18.7300
426,-20.0000,-26.0000,-25.0000,-22.4000,-24.8880,-5.7480,-14.2500,-50.9200,-56.6400,-20.8790,-26.8940,-19.9980
516,0.0000,0.0000,0.0000,-0.8700,-2.8250,-44.5850,-29.1390,74.7910,23.4920,35.4970,-8.1940,-1.4940
710,33.3000,12.1620,95.4320,207.5000,237.5000,75.0000,181.0000,-122.7120,899.8210,199.6040,700.0010,700.0010
748,-2.7550,-1.9790,-9.9080,-9.4720,-7.8720,-9.4720,-14.4960,17.1490,-38.2430,-12.0000,-46.0770,-6.0000
914,50.7350,42.9600,-129.5460,-243.5440,-406.5790,-302.6840,-685.2440,-787.7010,79.6230,-351.5610,-927.5910,-1025.6210
204,-23.0010,-23.0010,-24.2950,-23.7420,-24.8450,-19.3930,-10.8480,-8.7230,105.0000,-29.2870,98.8310,50.0000
854,-102.1590,-102.1590,-144.7230,-144.7230,-170.2630,-217.4000,-217.4000,-183.6990,-150.0010,-137.4990,-125.0000,-125.0000
132,-7.9260,-10.9690,-0.2670,1.8650,-3.5510,-57.0900,-20.3130,-34.0100,-6.3760,-9.4370,-10.9250,-17.2790
384,69.3800,99.9190,200.0000,250.0000,350.0000,420.0000,430.0000,325.0000,375.0000,90.0000,-510.0000,-360.0000
270,16.9130,36.3750,-3.2320,0.1180,9.3920,-3.3800,19.4750,48.3920,-14.8010,-26.4180,-13.7420,-13.7420
288,150.0000,142.0000,0.0000,-362.0000,-164.0000,-564.0000,206.0000,-30.0000,40.0000,-51.3140,11.6900,-51.2580
324,-0.0070,-9.9290,-13.8570,-18.0000,-275.0000,-353.0000,-38.0000,162.4500,950.0880,-227.0000,-425.0000,-300.0000
624,-10.0010,-9.9830,-40.0000,-27.2300,-0.7700,63.0000,-20.0000,-20.0000,-20.0000,-20.0000,-20.0000,-10.0000
430,-0.0130,7.9830,7.9960,11.0130,10.9960,11.9490,0.0000,-367.8450,-283.7560,453.1990,-72.6650,300.0000
466,-35.0310,-49.0700,-70.2430,-98.2350,-95.5850,-174.9980,-218.0640,-480.6520,-173.4890,-141.9500,-67.1100,-100.8230
478,-1.3000,-1.6000,-1.8200,-2.7600,-5.9500,-9.7000,-16.1000,-30.3000,-14.7000,9.9000,30.0000,9.9000
562,5.0010,-25.1240,-11.5450,-11.5450,-13.7630,-18.1380,-92.9460,-91.9170,-2.6790,24.0560,-28.4970,-28.4970
566,3.3680,2.7060,1.0210,-43.3470,-38.5260,854.6490,-671.6400,-91.4070,-95.7690,-95.0270,-170.0000,-300.0000
686,33.0330,44.0460,50.0020,86.5220,65.5860,-134.7830,-85.1080,-48.2350,-56.0040,-167.8890,-120.9030,-132.8420
694,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.7450,-450.0000,-150.0000,500.0000,60.0000
768,-46.9220,-57.3340,-77.8830,138.9200,-50.0000,-100.0000,50.0000,1.0000,-122.1900,127.7050,-3.5700,-5.4300
935,241.7090,1374.2580,-84.8710,61.1140,-1827.1390,-2226.0220,-404.5350,-2448.4650,-6273.0130,-6939.5240,-8191.3900,-7838.8980
906,-597.5620,107.5110,-620.0480,804.4840,-1072.2500,14.2380,324.2760,-432.4450,-1097.2180,-840.3150,-2194.4060,-1225.6050
156,-115.9520,-8.1630,-1058.8290,-12.7380,-1113.1270,-428.3130,-258.0690,-236.2570,-823.6590,-677.4440,-2298.0550,-1884.1020
344,166.1790,177.3340,224.4810,-177.8020,66.5080,401.9930,82.4710,160.1640,155.8400,550.8100,-11.2470,176.1250
446,-37.3220,-32.1020,19.6080,35.8390,-7.3190,-6.3860,32.2800,36.8660,18.2310,19.7590,42.4910,50.6250
408,-686.0500,0.0020,-0.0090,0.0150,-0.0300,0.0190,-0.0130,-0.0050,0.0000,0.0000,0.0000,0.0000
392,54.6730,-468.5160,209.1560,878.3240,456.8230,45.0010,211.9530,-628.4490,450.5530,17.6460,52.4040,270.0000
496,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-88.4320,-57.7260,-15.0010,-15.0010
410,1.3730,439.7110,-281.3810,-389.1360,-449.7820,-165.1770,317.0130,434.9690,-633.1400,-514.6470,-98.2770,-30.0000
158,19.5370,-0.7550,266.9260,469.9820,-25.3230,167.1010,-61.3590,-199.7330,-176.6110,-178.7130,133.2790,206.7480
